infraclass;superorder;order;species
Placentalia;Afrotheria;Afrosoricida;55
Placentalia;Afrotheria;Macroscelidea;20
Placentalia;Afrotheria;Hyracoidea;5
Placentalia;Afrotheria;Sirenia;5
Placentalia;Afrotheria;Proboscidea;3
Placentalia;Afrotheria;Tubulidentata;1
Placentalia;Euarchontoglires;Rodentia;2552
Placentalia;Euarchontoglires;Primates;518
Placentalia;Euarchontoglires;Lagomorpha;98
Placentalia;Euarchontoglires;Scandentia;24
Placentalia;Euarchontoglires;Dermoptera;2
Placentalia;Laurasiatheria;Chiroptera;1386
Placentalia;Laurasiatheria;Artiodactyla;551
Placentalia;Laurasiatheria;Eulipotyphla;527
Placentalia;Laurasiatheria;Carnivora;305
Placentalia;Laurasiatheria;Perissodactyla;21
Placentalia;Laurasiatheria;Pholidota;8
Placentalia;Xenarthra;Cingulata;20
Placentalia;Xenarthra;Pilosa;10
Marsupialia;;Diprotodontia;155
Marsupialia;;Didelphimorphia;111
Marsupialia;;Dasyuromorpha;78
Marsupialia;;Peramelemorphia;23
Marsupialia;;Paucituberculata;7
Marsupialia;;Microbiotheria;3
Marsupialia;;Notoryctemorphia;2
